Carimbo de data/hora,Idade,Sexo,Cor ou raça/etnia,Área de formação (graduação),Estado de origem,Relação com o RCGI,Você conhece a Agenda 2030 da ONU e os ODS?,Como você avalia seu grau de conhecimento sobre a Agenda 2030 e os ODS?,Essa avaliação se refere a qual projeto do RCGI? ,Erradicação da pobreza,Fome zero,Saude e bem estar,Educacao de qualidade,Igualdade de genero,Agua potavel e saneamento,Energia limpa e acessivel,Trabalho decente e crescimento economico,"Industria, inovacao e infraestrutura",Reducao da desigualdade,Cidades e comunidades sustentaveis,Consumo e producao responsaveis,Acao contra mudanca global do clima,Vida na agua,Vida terrestre,"Paz, justilca e instituicoes eficazes",Parcerias e meios de implementacao,Quais atitudes poderiam fazer seu projeto relevante em mais ODS? (opcional),Você participa de outro projeto do RCGI?,
2020/05/17 5:39:36 PM GMT-3,60 - 64,Feminino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Sim,3,Projeto 27,2,3,3,3,2,5,5,2,5,2,5,5,5,1,5,2,2,,não,Não participo.
2020/05/17 7:55:41 PM GMT-3,35 - 39,Masculino,Branca,Física,Mato Grosso do Sul (MS),Professor - Pesquisador,Não,,Projeto 3,2,1,5,5,1,1,5,5,3,5,5,5,5,5,5,5,5,,não,Não participo.
2020/05/17 8:16:07 PM GMT-3,30 - 34,Feminino,Branca,Direito,Bahia (BA),Aluno de doutorado,Sim,5,Projeto 26,2,1,4,4,4,1,5,5,4,2,3,2,5,1,2,3,4,"Pensando em formas de tornar o conhecimento criado mais inclusivo para pessoas de diferentes níveis educacionais e incluindo a menção aos ODS em artigos, o que ajudaria na na reflexão sobre a contribuição do projeto com os ODS.",não,Não participo.
2020/05/18 7:12:18 AM GMT-3,25 - 29,Feminino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Não,,Projeto 19,1,1,1,1,3,5,5,3,5,3,5,5,5,4,4,2,3,,não,Não participo.
2020/05/18 9:00:09 AM GMT-3,40 - 44,Masculino,Branca,Engenharia,Santa Catarina (SC),Pós-doutorando,Não,,Projeto 46,1,1,3,1,1,1,2,1,2,1,1,2,2,2,1,1,3,,não,Não participo.
2020/05/18 9:24:21 AM GMT-3,40 - 44,Masculino,Branca,Biologia,São Paulo (SP),Coordenador de projeto,Sim,4,Projeto 42,2,1,4,1,1,3,5,2,4,2,2,5,5,5,5,3,4,A integração com outros projetos do RCGI poderia trazer novas perspectivas e contribuições para outros ODS.,não,Não participo.
2020/05/18 10:06:59 AM GMT-3,35 - 39,Masculino,Branca,Matemática Aplicada,São Paulo (SP),Professor - Pesquisador,Não,,Projeto 46,1,1,1,5,2,1,1,2,3,1,1,1,1,1,1,1,1,,não,Não participo.
2020/05/18 10:20:29 AM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de mestrado,Não,,Projeto 37,1,1,5,5,1,1,5,2,5,1,1,5,5,2,2,1,4,,não,Não participo.
2020/05/18 11:34:14 AM GMT-3,50 - 54,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,4,Projeto 32,1,2,1,1,1,2,5,2,4,2,2,4,5,2,2,1,1,,não,Não participo.
2020/05/18 11:40:37 AM GMT-3,25 - 29,Masculino,Branca,Engenharia,Paraíba (PB),Aluno de mestrado,Sim,2,Projeto 32,1,1,3,3,1,3,4,4,5,1,5,5,5,5,4,1,2,,não,Não participo.
